names,Price,Area,Unit Type,Starting Price,Maximum Price,lat,lon,geometry
Blue Bell Homes bangalore,36.01 L -46.65 L,633-820 sq.ft,1 BHK Apartment,36.01 L ,46.65 L,12.9676128,77.70421250000001,POINT (77.70421250000001 12.9676128)
Bluejay Atmosphere bangalore,86.26 L -1.20 Cr,1350 sq.ft,2 BHK Apartment,86.26 L ,1.20 Cr,13.026091,77.48132799999999,POINT (77.48132799999999 13.026091)
Bluejay Malgudi bangalore,58.57 L,1100 sq.ft,2 BHK Apartment,58.57 L,0,12.8651727,77.5484676,POINT (77.5484676 12.8651727)
Bluejay Nine Forum bangalore,1.68 Cr -2.50 Cr,3600 sq.ft,3 BHK Villa,1.68 Cr ,2.50 Cr,12.8645663,77.64013039999999,POINT (77.64013039999999 12.8645663)
Bren Champions Square bangalore,27.75 L -38.83 L,436-639 sq.ft,1 BHK Apartment,27.75 L ,38.83 L,12.901324,77.70859449999999,POINT (77.70859449999999 12.901324)
Bren Edgewaters bangalore,48 L -84 L,960-1121 sq.ft,2 BHK Apartment,48 L ,84 L,12.9022215,77.6699666,POINT (77.6699666 12.9022215)
Bren Imperia bangalore,27.88 L -40.22 L,589-643 sq.ft,1 BHK Apartment,27.88 L ,40.22 L,12.9068814,77.671808,POINT (77.671808 12.9068814)
Bren Northern Lights bangalore,32.83 L -35.74 L,596 sq.ft,1 BHK Apartment,32.83 L ,35.74 L,13.094024,77.60910609999999,POINT (77.60910609999999 13.094024)
Bren Paddington bangalore,70.44 L -95 L,1178-1298 sq.ft,2 BHK Apartment,70.44 L ,95 L,12.9184653,77.6758485,POINT (77.6758485 12.9184653)
Bren Palms bangalore,2.20 Cr,2757 sq.ft,3 BHK Villa,2.20 Cr,0,12.8911424,77.6447601,POINT (77.6447601 12.8911424)
Bren Trillium bangalore,54.06 L -72.16 L,983-1312 sq.ft,2 BHK Apartment,54.06 L ,72.16 L,12.8661314,77.66641539999999,POINT (77.66641539999999 12.8661314)
Bren Woods bangalore,53.20 L -65 L,1031-1065 sq.ft,2 BHK Apartment,53.20 L ,65 L,12.8617047,77.6832261,POINT (77.6832261 12.8617047)
Brick N Land Garden and Skies bangalore,23.04 L,640 sq.ft,1 BHK Apartment,23.04 L,0,12.9085662,77.6446577,POINT (77.6446577 12.9085662)
Brigade 7 Gardens bangalore,60.98 L -94.86 L,1182-1285 sq.ft,2 BHK Apartment,60.98 L ,94.86 L,12.895314,77.53021439999999,POINT (77.53021439999999 12.895314)
Brigade Altamont bangalore,72.95 L -90 L,1260-1270 sq.ft,2 BHK Apartment,72.95 L ,90 L,13.0609295,77.6417051,POINT (77.6417051 13.0609295)
Brigade Atmosphere bangalore,45.62 L -53.05 L,1010-1184 sq.ft,2 BHK Apartment,45.62 L ,53.05 L,13.2661949,77.7388028,POINT (77.7388028 13.2661949)
Brigade Bricklane bangalore,23.04 L,640 sq.ft,1 BHK Apartment,23.04 L,0,13.1003515,77.6320051,POINT (77.6320051 13.1003515)
Brigade Buena Vista Phase I bangalore,31.85 L -37.54 L,720-760 sq.ft,1 BHK Apartment,31.85 L ,37.54 L,13.0639183,77.73973289999999,POINT (77.73973289999999 13.0639183)
Brigade Buena Vista Phase II bangalore,3.25 Cr,3009 sq.ft,3 BHK Apartment,3.25 Cr,0,13.0639183,77.73973289999999,POINT (77.73973289999999 13.0639183)
Brigade Caladium bangalore,3.49 Cr -3.59 Cr,3520 sq.ft,3 BHK Apartment,3.49 Cr ,3.59 Cr,13.0559515,77.596732,POINT (77.596732 13.0559515)
Brigade Cosmopolis - Phase 1 & 2 bangalore,92.26 L -1.25 Cr,1250-1360 sq.ft,2 BHK Apartment,92.26 L ,1.25 Cr,12.9621546,77.7461421,POINT (77.7461421 12.9621546)
Brigade Exotica - Azure Tower bangalore,1.45 Cr -2.20 Cr,2990-3190 sq.ft,3 BHK Apartment,1.45 Cr ,2.20 Cr,13.0443079,77.74501289999999,POINT (77.74501289999999 13.0443079)
